UserID,No_of_days_Visited_7_Days,No_Of_Products_Viewed_15_Days,User_Vintage,Most_Viewed_product_15_Days,Most_Active_OS,Recently_Viewed_Product,Pageloads_last_7_days,Clicks_last_7_days
U100002,0,2,52,PR100258,ANDROID,PR100258,0,0
U100003,1,2,1021,PR100079,WINDOWS,PR100079,1,2
U100004,1,15,341,Product101,WINDOWS,PR100142,1,0
U100005,1,3,680,PR100234,ANDROID,PR102072,1,0
U100006,1,1,55,PR101111,ANDROID,PR101111,1,0
U100007,0,0,460,Product101,WINDOWS,PR100209,0,0
U100008,6,17,394,PR100855,ANDROID,PR100089,21,23
U100009,4,10,78,PR101070,ANDROID,PR101070,4,4
U100012,2,5,124,PR100055,MAC OS X,PR100055,6,14
U100013,3,3,1687,PR100177,MAC OS X,PR100177,5,3
U100014,2,4,155,PR100578,WINDOWS,Product101,1,2
U100015,1,4,659,PR100390,ANDROID,PR100095,3,8
U100016,1,1,114,PR100172,ANDROID,PR100172,1,0
U100017,1,1,45,PR100119,WINDOWS,Product101,0,0
U100018,5,3,44,PR100403,WINDOWS,PR100403,7,21
U100019,3,7,317,PR100017,WINDOWS,PR100040,5,15
U100020,0,2,162,PR100558,MAC OS X,PR100017,0,0
U100023,5,3,437,PR100181,WINDOWS,PR100181,6,0
U100024,1,1,85,PR100025,ANDROID,PR100025,2,1
U100025,0,0,129,Product101,WINDOWS,PR100240,0,0
U100026,3,2,68,PR100153,WINDOWS,Product101,1,2
U100027,6,41,2257,Product101,WINDOWS,PR100945,15,36
U100028,0,1,126,PR100137,ANDROID,PR100185,0,0
U100029,1,2,574,PR100301,MAC OS X,PR100106,1,1
U100030,3,6,104,PR100005,MAC OS X,PR100316,2,4
U100031,4,11,413,PR100393,WINDOWS,PR100097,8,61
U100032,3,9,104,PR100901,WINDOWS,PR100152,4,205
U100033,0,0,83,Product101,ANDROID,PR100172,0,0
U100034,5,83,453,Product101,WINDOWS,PR100812,99,37
U100035,0,0,73,Product101,ANDROID,PR100633,0,0
U100036,2,5,111,PR100876,WINDOWS,PR100152,3,11
U100038,2,10,134,PR100072,IOS,PR100390,11,11
U100039,0,2,2256,PR100664,MAC OS X,PR100047,0,0
U100040,3,4,335,PR102405,WINDOWS,PR105055,5,3
U100042,0,0,63,Product101,ANDROID,PR100182,0,0
U100043,4,10,446,PR100144,WINDOWS,PR100017,14,28
U100044,1,1,74,Product101,WINDOWS,Product101,0,1
U100045,3,4,348,Product101,ANDROID,PR100413,3,0
U100047,0,1,320,PR100192,WINDOWS,Product101,0,0
U100048,0,1,80,PR100226,MAC OS X,PR100088,0,0
U100049,1,1,222,PR100025,ANDROID,PR102463,1,1
U100050,5,4,64,PR100190,WINDOWS,PR100190,28,21
U100051,3,6,2256,PR100722,ANDROID,PR100089,6,0
U100052,0,2,97,PR100069,LINUX,PR100069,0,0
U100053,0,0,48,Product101,WINDOWS,PR100268,0,0
U100054,0,1,1472,PR100746,LINUX,PR101320,0,0
U100056,1,1,93,Product101,ANDROID,Product101,0,0
U100057,1,1,50,PR100184,ANDROID,PR100184,1,0
U100058,5,3,888,PR100166,WINDOWS,PR101366,8,0
U100059,1,1,499,PR100073,ANDROID,Product101,0,0
U100061,2,4,57,PR100025,ANDROID,PR100895,2,0
U100062,0,0,64,Product101,WINDOWS,PR100134,0,0
U100063,2,5,1065,PR100258,MAC OS X,PR100258,1,0
U100065,1,4,654,PR100047,ANDROID,PR100119,2,3
U100066,2,2,154,PR100942,ANDROID,PR100942,2,0
U100067,2,1,506,PR100102,ANDROID,PR100102,4,25
U100068,1,1,273,PR100498,ANDROID,PR100498,1,0
U100069,4,9,1777,PR100035,WINDOWS,PR102072,8,72
U100070,5,27,585,PR100166,WINDOWS,PR100206,36,58
